"Food_Name","Food_Brand","Food_Amount","Food_Unit","Calories","Fat","Fiber","Carbs","Sodium","Protein","LogDate","Date"
"Tzatziki","Greco",70,"gram",92,7.07,0,3.15,0,3.78,"2021-02-01",2021-02-01
"Cocktailtomaten","",100,"gram",21,0.3,0,3.5,0,1,"2021-02-01",2021-02-01
"Salatgurke (ohne Schale), frisch","",590,"gram",71,0.94,0,12.74,0,3.48,"2021-02-01",2021-02-01
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-02-01",2021-02-01
"Rote Paprika, frisch","",150,"gram",65,0.75,0,9.6,0,1.95,"2021-02-01",2021-02-01
"Fitline Frischkäse 0,2% Fett","Exquisa",20,"gram",12,0.04,0,0.7,0,2,"2021-02-01",2021-02-01
"Joghurtdressing Light","Simply good",75,"gram",64,3.9,0,4.43,0,2.63,"2021-02-01",2021-02-01
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-02-01",2021-02-01
"Rote Zwiebel, frisch","",65,"gram",20,0.16,0,3.2,0,0.77,"2021-02-01",2021-02-01
"Thunfisch pikant","Vier Diamanten",92.5,"gram",98,1.94,0,5.18,0,14.61,"2021-02-01",2021-02-01
"Eisbergsalat, frisch","",100,"gram",15,0.2,0,1.57,0,1,"2021-02-01",2021-02-01
"Kidneybohnen","Bonduelle",63,"gram",54,0.44,0,6.88,0,3.75,"2021-02-01",2021-02-01
"Mango, frisch","",130,"gram",81,0.58,0,16.18,0,0.78,"2021-02-01",2021-02-01
"Clementine","",150,"gram",75,0.45,0,13.5,0,1.05,"2021-02-01",2021-02-01
"Apfel (mit Schale), frisch","",130,"gram",85,0.06,0,18.66,0,0.44,"2021-02-01",2021-02-01
"Hej crispy bar Cookie dough","Hej Natural",45,"gram",166,6.75,0,18,0,13.95,"2021-02-01",2021-02-01
"Fitness nutritious energy","Nestlé",23.5,"gram",88,1.88,0,14.97,0,1.55,"2021-01-31",2021-01-31
"Hej crispy bar Cookie dough","Hej Natural",45,"gram",166,6.75,0,18,0,13.95,"2021-01-31",2021-01-31
"Weintrauben (rot/grün), frisch","",150,"gram",108,0.42,0,22.86,0,1.02,"2021-01-31",2021-01-31
"Fitline Frischkäse 0,2% Fett","Exquisa",20,"gram",12,0.04,0,0.7,0,2,"2021-01-31",2021-01-31
"Cocktailtomaten","",100,"gram",21,0.3,0,3.5,0,1,"2021-01-31",2021-01-31
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-31",2021-01-31
"Putenfarmerschinken","Billa",50,"gram",50,1,0,3.2,0,7,"2021-01-31",2021-01-31
"Rote Paprika, frisch","",150,"gram",65,0.75,0,9.6,0,1.95,"2021-01-31",2021-01-31
"Salatgurke (ohne Schale), frisch","",590,"gram",71,0.94,0,12.74,0,3.48,"2021-01-31",2021-01-31
"Tzatziki","Greco",70,"gram",92,7.07,0,3.15,0,3.78,"2021-01-31",2021-01-31
"Rote Linsen Nudeln","Pedon",60,"gram",200,1.02,0,29.82,0,15.66,"2021-01-31",2021-01-31
"Zwiebel, frisch","",42.5,"gram",13,0.11,0,2.09,0,0.5,"2021-01-31",2021-01-31
"Champignons (Pilze), frisch","",125,"gram",30,0.31,0,0.7,0,5.14,"2021-01-31",2021-01-31
"Cremefine zum Verfeinern","Rama",40,"gram",67,6,0,2.28,0,1.12,"2021-01-31",2021-01-31
"Knoblauch, frisch","",3,"gram",4,0,0,0.85,0,0.18,"2021-01-31",2021-01-31
"Pizzakäse leicht","Clever",10,"gram",26,1.7,0,0.09,0,2.6,"2021-01-31",2021-01-31
"Spinat (Blattspinat), frisch","",100,"gram",22,0.3,0,0.61,0,2.81,"2021-01-31",2021-01-31
"Rapsöl","",7.5,"gram",66,7.5,0,0,0,0,"2021-01-31",2021-01-31
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-31",2021-01-31
"Marmelade Erdbeere kalorienreduziert","Darbo",40,"gram",32,0,0,9.6,0,0.2,"2021-01-31",2021-01-31
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-31",2021-01-31
"Fastenbutter","NÖM",20,"gram",78,8,0,0.6,0,0.8,"2021-01-31",2021-01-31
"Weintrauben (rot/grün), frisch","",150,"gram",108,0.42,0,22.86,0,1.02,"2021-01-30",2021-01-30
"Hej crispy bar Cookie dough","Hej Natural",45,"gram",166,6.75,0,18,0,13.95,"2021-01-30",2021-01-30
"Rote Paprika, frisch","",150,"gram",65,0.75,0,9.6,0,1.95,"2021-01-30",2021-01-30
"Cocktailtomaten","",100,"gram",21,0.3,0,3.5,0,1,"2021-01-30",2021-01-30
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-30",2021-01-30
"Tzatziki","Greco",70,"gram",92,7.07,0,3.15,0,3.78,"2021-01-30",2021-01-30
"Putenfarmerschinken","Billa",50,"gram",50,1,0,3.2,0,7,"2021-01-30",2021-01-30
"Fitline Frischkäse 0,2% Fett","Exquisa",20,"gram",12,0.04,0,0.7,0,2,"2021-01-30",2021-01-30
"Salatgurke (ohne Schale), frisch","",590,"gram",71,0.94,0,12.74,0,3.48,"2021-01-30",2021-01-30
"Jasminreis gekocht","Selbstgemacht",100,"gram",111,0.19,0,24.82,0,2.35,"2021-01-30",2021-01-30
"Letscho","",200,"gram",84,0.4,0,15.8,0,2.2,"2021-01-30",2021-01-30
"Eisbergsalat mit Dressing","VW",175,"gram",75,5.02,0,4.88,0,1.94,"2021-01-30",2021-01-30
"Zarte Mischung","Iglo",100,"gram",66,0.5,0,11,0,2.9,"2021-01-30",2021-01-30
"Grillhuhn","Billa",130,"gram",213,11.57,0,0,0,27.3,"2021-01-30",2021-01-30
"Apfel (mit Schale), frisch","",130,"gram",85,0.06,0,18.66,0,0.44,"2021-01-30",2021-01-30
"Protein Bar Crunchy Peanut","Foodspring",65,"gram",228,9.75,0,19.5,0,20.15,"2021-01-30",2021-01-30
"Clementine","",150,"gram",75,0.45,0,13.5,0,1.05,"2021-01-30",2021-01-30
"Hej crispy bar Cookie dough","Hej Natural",45,"gram",166,6.75,0,18,0,13.95,"2021-01-29",2021-01-29
"Clementine","",150,"gram",75,0.45,0,13.5,0,1.05,"2021-01-29",2021-01-29
"Milchreis ZERO Zimt","Müller",100,"gram",71,2.1,0,10.1,0,2.9,"2021-01-29",2021-01-29
"Rote Paprika, frisch","",150,"gram",65,0.75,0,9.6,0,1.95,"2021-01-29",2021-01-29
"Tzatziki","Greco",70,"gram",92,7.07,0,3.15,0,3.78,"2021-01-29",2021-01-29
"Cocktailtomaten","",100,"gram",21,0.3,0,3.5,0,1,"2021-01-29",2021-01-29
"Salatgurke (ohne Schale), frisch","",590,"gram",71,0.94,0,12.74,0,3.48,"2021-01-29",2021-01-29
"Putenfarmerschinken","Billa",50,"gram",50,1,0,3.2,0,7,"2021-01-29",2021-01-29
"Fitline Frischkäse 0,2% Fett","Exquisa",20,"gram",12,0.04,0,0.7,0,2,"2021-01-29",2021-01-29
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-29",2021-01-29
"Gnochhi - Freschi di patate","Giovanni Rana",200,"gram",266,1,0,58,0,5,"2021-01-29",2021-01-29
"Letscho","",235,"gram",99,0.47,0,18.57,0,2.59,"2021-01-29",2021-01-29
"Putenbrust gebraten","Selbstgemacht",100,"gram",80,1.5,0,2.7,0,11.2,"2021-01-29",2021-01-29
"Fastenbutter","NÖM",20,"gram",78,8,0,0.6,0,0.8,"2021-01-29",2021-01-29
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-29",2021-01-29
"Marmelade Erdbeere kalorienreduziert","Darbo",40,"gram",32,0,0,9.6,0,0.2,"2021-01-29",2021-01-29
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-29",2021-01-29
"Sportiness  crispy white choclate","Dm",45,"gram",162,4.7,0,11.9,0,23.3,"2021-01-28",2021-01-28
"Hej crispy bar Cookie dough","Hej Natural",45,"gram",166,6.75,0,18,0,13.95,"2021-01-28",2021-01-28
"Putenfarmerschinken","Billa",50,"gram",50,1,0,3.2,0,7,"2021-01-28",2021-01-28
"Cocktailtomaten","",100,"gram",21,0.3,0,3.5,0,1,"2021-01-28",2021-01-28
"Tzatziki","Greco",70,"gram",92,7.07,0,3.15,0,3.78,"2021-01-28",2021-01-28
"Rote Paprika, frisch","",150,"gram",65,0.75,0,9.6,0,1.95,"2021-01-28",2021-01-28
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-28",2021-01-28
"Fitline Frischkäse 0,2% Fett","Exquisa",20,"gram",12,0.04,0,0.7,0,2,"2021-01-28",2021-01-28
"Salatgurke (ohne Schale), frisch","",590,"gram",71,0.94,0,12.74,0,3.48,"2021-01-28",2021-01-28
"Gnochhi - Freschi di patate","Giovanni Rana",200,"gram",266,1,0,58,0,5,"2021-01-28",2021-01-28
"Letscho","",235,"gram",99,0.47,0,18.57,0,2.59,"2021-01-28",2021-01-28
"Gebratenes Hühnerfilet","",100,"gram",135,1.9,0,4.2,0,25,"2021-01-28",2021-01-28
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-28",2021-01-28
"Fastenbutter","NÖM",20,"gram",78,8,0,0.6,0,0.8,"2021-01-28",2021-01-28
"Marmelade Erdbeere kalorienreduziert","Darbo",40,"gram",32,0,0,9.6,0,0.2,"2021-01-28",2021-01-28
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-28",2021-01-28
"Hej crispy bar Cookie dough","Hej Natural",45,"gram",166,6.75,0,18,0,13.95,"2021-01-27",2021-01-27
"Protein Bar Hazelnut Cream","Foodspring",60,"gram",199,6,0,9.6,0,19.8,"2021-01-27",2021-01-27
"Rote Paprika, frisch","",150,"gram",65,0.75,0,9.6,0,1.95,"2021-01-27",2021-01-27
"Cocktailtomaten","",100,"gram",21,0.3,0,3.5,0,1,"2021-01-27",2021-01-27
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-27",2021-01-27
"Salatgurke (ohne Schale), frisch","",590,"gram",71,0.94,0,12.74,0,3.48,"2021-01-27",2021-01-27
"Fitline Frischkäse 0,2% Fett","Exquisa",20,"gram",12,0.04,0,0.7,0,2,"2021-01-27",2021-01-27
"Tzatziki","Greco",70,"gram",92,7.07,0,3.15,0,3.78,"2021-01-27",2021-01-27
"Putenfarmerschinken","Billa",50,"gram",50,1,0,3.2,0,7,"2021-01-27",2021-01-27
"Puten  Käsekrainer","Hofstädter",100,"gram",199,15,0,0,0,16,"2021-01-27",2021-01-27
"Süßkartoffeln, gekocht","",150,"gram",170,0.87,0,34.85,0,2.4,"2021-01-27",2021-01-27
"Knoblauchöl","Kunella Feinkost",0,"liter",41,4.55,0,0,0,0,"2021-01-27",2021-01-27
"Zuchini","Gemüse",170,"gram",29,0.51,0,5.27,0,2.04,"2021-01-27",2021-01-27
"Rapsöl","",10,"gram",88,10,0,0,0,0,"2021-01-27",2021-01-27
"Champion weiß","Markt Frisch",100,"gram",22,0.5,0,0.1,0,3.1,"2021-01-27",2021-01-27
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-27",2021-01-27
"Marmelade Erdbeere kalorienreduziert","Darbo",40,"gram",32,0,0,9.6,0,0.2,"2021-01-27",2021-01-27
"Fastenbutter","NÖM",20,"gram",78,8,0,0.6,0,0.8,"2021-01-27",2021-01-27
"Sportiness  crispy white choclate","Dm",45,"gram",162,4.7,0,11.9,0,23.3,"2021-01-26",2021-01-26
"Putenfarmerschinken","Billa",50,"gram",50,1,0,3.2,0,7,"2021-01-26",2021-01-26
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-26",2021-01-26
"Rote Paprika, frisch","",150,"gram",65,0.75,0,9.6,0,1.95,"2021-01-26",2021-01-26
"Tzatziki","Greco",70,"gram",92,7.07,0,3.15,0,3.78,"2021-01-26",2021-01-26
"Cocktailtomaten","",100,"gram",21,0.3,0,3.5,0,1,"2021-01-26",2021-01-26
"Salatgurke (ohne Schale), frisch","",590,"gram",71,0.94,0,12.74,0,3.48,"2021-01-26",2021-01-26
"Fitline Frischkäse 0,2% Fett","Exquisa",20,"gram",12,0.04,0,0.7,0,2,"2021-01-26",2021-01-26
"Mischbrot","Ströck",113,"gram",245,1.13,0,48.59,0,7.12,"2021-01-26",2021-01-26
"altbayerischer Senf","Händlmaier",20,"liter",34,0.46,0,5.92,0,1.1,"2021-01-26",2021-01-26
"Zwiebel, frisch","",15,"gram",5,0.04,0,0.74,0,0.18,"2021-01-26",2021-01-26
"Gaudina","New Lifestyle Hofer",48,"gram",114,6.24,0,0,0,14.4,"2021-01-26",2021-01-26
"Puten-Farmerschinken","Berger",57,"gram",58,1.14,0,0.68,0,10.83,"2021-01-26",2021-01-26
"Gelbe Paprika, frisch","",50,"gram",19,0.15,0,2.65,0,0.6,"2021-01-26",2021-01-26
"Tiroler Karree Leicht","Handl Tyrol",17,"gram",27,0.51,0,0.09,0,5.61,"2021-01-26",2021-01-26
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-26",2021-01-26
"Marmelade Erdbeere kalorienreduziert","Darbo",40,"gram",32,0,0,9.6,0,0.2,"2021-01-26",2021-01-26
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-26",2021-01-26
"Fastenbutter","NÖM",20,"gram",78,8,0,0.6,0,0.8,"2021-01-26",2021-01-26
"Fitness nutritious energy","Nestlé",23.5,"gram",88,1.88,0,14.97,0,1.55,"2021-01-25",2021-01-25
"Hej crispy bar Cookie dough","Hej Natural",45,"gram",166,6.75,0,18,0,13.95,"2021-01-25",2021-01-25
"Rote Paprika, frisch","",150,"gram",65,0.75,0,9.6,0,1.95,"2021-01-25",2021-01-25
"Fastenbutter","NÖM",20,"gram",78,8,0,0.6,0,0.8,"2021-01-25",2021-01-25
"Cocktailtomaten","",100,"gram",21,0.3,0,3.5,0,1,"2021-01-25",2021-01-25
"Marmelade Erdbeere kalorienreduziert","Darbo",40,"gram",32,0,0,9.6,0,0.2,"2021-01-25",2021-01-25
"Tzatziki","Greco",70,"gram",92,7.07,0,3.15,0,3.78,"2021-01-25",2021-01-25
"Salatgurke (ohne Schale), frisch","",590,"gram",71,0.94,0,12.74,0,3.48,"2021-01-25",2021-01-25
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-25",2021-01-25
"Cremefine zum Verfeinern","Rama",40,"gram",67,6,0,2.28,0,1.12,"2021-01-25",2021-01-25
"Thunfisch natur ohne Öl","Rio Mare",112,"gram",109,0.56,0,0,0,25.76,"2021-01-25",2021-01-25
"Champion weiß","Markt Frisch",150,"gram",33,0.75,0,0.15,0,4.65,"2021-01-25",2021-01-25
"Kaisergemüse","Clever",160,"gram",64,1.12,0,6.72,0,4.48,"2021-01-25",2021-01-25
"Zwiebel, frisch","",42.5,"gram",13,0.11,0,2.09,0,0.5,"2021-01-25",2021-01-25
"Rote Linsen Nudeln","Pedon",60,"gram",200,1.02,0,29.82,0,15.66,"2021-01-25",2021-01-25
"Knoblauchöl","Bona",0,"liter",8,0.92,0,0,0,0,"2021-01-25",2021-01-25
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-25",2021-01-25
"Fastenbutter","NÖM",20,"gram",78,8,0,0.6,0,0.8,"2021-01-25",2021-01-25
"Marmelade Erdbeere kalorienreduziert","Darbo",40,"gram",32,0,0,9.6,0,0.2,"2021-01-25",2021-01-25
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-25",2021-01-25
"Hej crispy bar Cookie dough","Hej Natural",45,"gram",166,6.75,0,18,0,13.95,"2021-01-24",2021-01-24
"Weintrauben (rot/grün), frisch","",150,"gram",108,0.42,0,22.86,0,1.02,"2021-01-24",2021-01-24
"Sportiness  crispy white choclate","Dm",45,"gram",162,4.7,0,11.9,0,23.3,"2021-01-24",2021-01-24
"Sportiness  crispy white choclate","Dm",45,"gram",162,4.7,0,11.9,0,23.3,"2021-01-24",2021-01-24
"Fitline Frischkäse 0,2% Fett","Exquisa",20,"gram",12,0.04,0,0.7,0,2,"2021-01-24",2021-01-24
"Putenfarmerschinken","Billa",50,"gram",50,1,0,3.2,0,7,"2021-01-24",2021-01-24
"Cocktailtomaten","",100,"gram",21,0.3,0,3.5,0,1,"2021-01-24",2021-01-24
"Salatgurke (ohne Schale), frisch","",590,"gram",71,0.94,0,12.74,0,3.48,"2021-01-24",2021-01-24
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-24",2021-01-24
"Rote Paprika, frisch","",150,"gram",65,0.75,0,9.6,0,1.95,"2021-01-24",2021-01-24
"Tzatziki","Greco",70,"gram",92,7.07,0,3.15,0,3.78,"2021-01-24",2021-01-24
"Puten Surbraten gewürzt","Hofstädter",100,"gram",152,8,0,0,0,20,"2021-01-24",2021-01-24
"Kartoffeln (ohne Schale), gekocht","",70,"gram",63,0.01,0,13.27,0,1.4,"2021-01-24",2021-01-24
"Kaisergemüse","Clever",100,"gram",40,0.7,0,4.2,0,2.8,"2021-01-24",2021-01-24
"Jasminreis gekocht","Selbstgemacht",90,"gram",100,0.17,0,22.34,0,2.12,"2021-01-24",2021-01-24
"Kaisergemüse","Clever",100,"gram",40,0.7,0,4.2,0,2.8,"2021-01-24",2021-01-24
"Karotten (Möhren), gegart","",100,"gram",39,0.18,0,6.81,0,0.84,"2021-01-24",2021-01-24
"Fastenbutter","NÖM",20,"gram",78,8,0,0.6,0,0.8,"2021-01-24",2021-01-24
"Marmelade Erdbeere kalorienreduziert","Darbo",40,"gram",32,0,0,9.6,0,0.2,"2021-01-24",2021-01-24
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-24",2021-01-24
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-01-24",2021-01-24
"Chunky Flavour Zitrone Ceesecake","More Nutrition",3,"gram",10,0.18,0,0.9,0,0.62,"2021-01-23",2021-01-23
"Sportiness  crispy white choclate","Dm",45,"gram",162,4.7,0,11.9,0,23.3,"2021-01-23",2021-01-23
"Arla","Skyr",100,"gram",63,0.2,0,4,0,11,"2021-01-23",2021-01-23
"Apfel (mit Schale), frisch","",40,"gram",26,0.02,0,5.74,0,0.14,"2021-01-23",2021-01-23
"Hej crispy bar Cookie dough","Hej Natural",45,"gram",166,6.75,0,18,0,13.95,"2021-01-23",2021-01-23
"Clementine","",150,"gram",75,0.45,0,13.5,0,1.05,"2021-01-23",2021-01-23
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2020-12-13",2020-12-13
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2020-12-13",2020-12-13
"Marmelade Erdbeere kalorienreduziert","Darbo",40,"gram",32,0,0,9.6,0,0.2,"2020-12-13",2020-12-13
"Hej crispy bar Cookie dough","Hej Natural",45,"gram",166,6.75,0,18,0,13.95,"2020-12-12",2020-12-12
"Weintrauben (rot/grün), frisch","",150,"gram",108,0.42,0,22.86,0,1.02,"2020-12-12",2020-12-12
"Fitness nutritious energy","Nestlé",23.5,"gram",88,1.88,0,14.97,0,1.55,"2020-12-12",2020-12-12
"Putenfarmerschinken","Billa",50,"gram",50,1,0,3.2,0,7,"2020-12-12",2020-12-12
"Salatgurke (ohne Schale), frisch","",590,"gram",71,0.94,0,12.74,0,3.48,"2020-12-12",2020-12-12
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2020-12-12",2020-12-12
"Cocktailtomaten","",100,"gram",21,0.3,0,3.5,0,1,"2020-12-12",2020-12-12
"Rote Paprika, frisch","",150,"gram",65,0.75,0,9.6,0,1.95,"2020-12-12",2020-12-12
"Fitline Frischkäse 0,2% Fett","Exquisa",20,"gram",12,0.04,0,0.7,0,2,"2020-12-12",2020-12-12
"Tzatziki","Greco",70,"gram",92,7.07,0,3.15,0,3.78,"2020-12-12",2020-12-12
"Halbes Grillhuhn","Eigene Herstellung",100,"gram",201,11,0,0,0,25.4,"2020-12-12",2020-12-12
"Zarte Mischung","Iglo",100,"gram",66,0.5,0,11,0,2.9,"2020-12-12",2020-12-12
"Kaisergemüse","Clever",250,"gram",100,1.75,0,10.5,0,7,"2020-12-12",2020-12-12
"Jasminreis gekocht","Selbstgemacht",120,"gram",134,0.23,0,29.78,0,2.83,"2020-12-12",2020-12-12
"Fastenbutter","NÖM",20,"gram",78,8,0,0.6,0,0.8,"2020-12-12",2020-12-12
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2020-12-12",2020-12-12
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2020-12-12",2020-12-12
"Marmelade Erdbeere kalorienreduziert","Darbo",40,"gram",32,0,0,9.6,0,0.2,"2020-12-12",2020-12-12
"Fitness nutritious energy","Nestlé",23.5,"gram",88,1.88,0,14.97,0,1.55,"2020-12-11",2020-12-11
"Crispy Protein Bar Cookie Dough","Hej Natural",45,"gram",166,6.75,0,18,0,13.95,"2020-12-11",2020-12-11
"Weintrauben (rot/grün), frisch","",150,"gram",108,0.42,0,22.86,0,1.02,"2020-12-11",2020-12-11
"Rote Paprika, frisch","",150,"gram",65,0.75,0,9.6,0,1.95,"2020-12-11",2020-12-11
"Putenfarmerschinken","Billa",50,"gram",50,1,0,3.2,0,7,"2020-12-11",2020-12-11
"Fitline Frischkäse 0,2% Fett","Exquisa",20,"gram",12,0.04,0,0.7,0,2,"2020-12-11",2020-12-11
"Salatgurke (ohne Schale), frisch","",590,"gram",71,0.94,0,12.74,0,3.48,"2020-12-11",2020-12-11
"Tzatziki","Greco",70,"gram",92,7.07,0,3.15,0,3.78,"2020-12-11",2020-12-11
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2020-12-11",2020-12-11
"Cocktailtomaten","",100,"gram",21,0.3,0,3.5,0,1,"2020-12-11",2020-12-11
"Jasminreis gekocht","Selbstgemacht",150,"gram",167,0.29,0,37.23,0,3.53,"2020-12-11",2020-12-11
"Asiagemüse","Vossko",200,"gram",62,0.8,0,9.2,0,3,"2020-12-11",2020-12-11
"Leichte putensteaks","Hofer",120,"gram",116,1.2,0,0,0,26.4,"2020-12-11",2020-12-11
"Rapsöl","",15,"gram",133,15,0,0,0,0,"2020-12-11",2020-12-11
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2020-12-11",2020-12-11
"Marmelade Erdbeere kalorienreduziert","Darbo",40,"gram",32,0,0,9.6,0,0.2,"2020-12-11",2020-12-11
"Fastenbutter","NÖM",20,"gram",78,8,0,0.6,0,0.8,"2020-12-11",2020-12-11
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2020-12-11",2020-12-11
"Crispy Protein Bar White Chocolate Strawberry","Hej Natural",45,"gram",160,6.3,0,18,0,13.95,"2020-12-10",2020-12-10
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2020-12-10",2020-12-10
"Rote Paprika, frisch","",150,"gram",65,0.75,0,9.6,0,1.95,"2020-12-10",2020-12-10
"Tzatziki","Greco",70,"gram",92,7.07,0,3.15,0,3.78,"2020-12-10",2020-12-10
"Salatgurke (ohne Schale), frisch","",590,"gram",71,0.94,0,12.74,0,3.48,"2020-12-10",2020-12-10
"Fitline Frischkäse 0,2% Fett","Exquisa",20,"gram",12,0.04,0,0.7,0,2,"2020-12-10",2020-12-10
"Putenfarmerschinken","Billa",50,"gram",50,1,0,3.2,0,7,"2020-12-10",2020-12-10
"Cocktailtomaten","",100,"gram",21,0.3,0,3.5,0,1,"2020-12-10",2020-12-10
"Cremefine zum Verfeinern","Rama",46,"gram",77,6.9,0,2.62,0,1.29,"2020-12-10",2020-12-10
"Fisolen gekocht","",200,"gram",52,0.4,0,6.2,0,4.8,"2020-12-10",2020-12-10
"Kartoffeln (ohne Schale), gekocht","",190,"gram",171,0.04,0,36.01,0,3.8,"2020-12-10",2020-12-10
"Schellfischfilet, naturbelassen","Bofrost",100,"gram",77,0.6,0,0.1,0,17.9,"2020-12-10",2020-12-10
"Kokosöl","Alnatura",10,"liter",83,9.2,0,0.05,0,0.05,"2020-12-10",2020-12-10
"Apfel (mit Schale), frisch","",130,"gram",85,0.06,0,18.66,0,0.44,"2020-12-10",2020-12-10
