"Water_Amount","Date"
500,2021-01-16
500,2021-01-16
500,2021-01-18
500,2021-01-18
500,2021-01-18
500,2021-01-18
1000,2021-01-19
500,2021-01-19
500,2021-01-19
250,2021-01-19
250,2021-01-19
500,2021-01-20
250,2021-01-20
500,2021-01-20
500,2021-01-20
500,2021-01-23
500,2021-01-23
500,2021-01-23
500,2021-01-23
500,2021-01-24
500,2021-01-24
500,2021-01-24
500,2021-01-25
500,2021-01-25
500,2021-01-25
